#,Title,Platform,Type,Year,Rating,Genres,Fresh_Indian
1,For All Mankind,Apple TV,series,2019,8.1,"Drama, Sci-Fi & Fantasy, War & Politics",
2,Foundation,Apple TV,series,2021,7.6,"Sci-Fi & Fantasy, Drama",
3,Hijack,Apple TV,series,2023,7.4,Drama,
4,See,Apple TV,series,2019,7.6,"Drama, Sci-Fi & Fantasy, Action & Adventure",
5,Severance,Apple TV,series,2022,8.7,"Drama, Mystery, Sci-Fi & Fantasy",
6,Severance Season 2,Apple TV,series,2025,8.7,"Drama, Mystery, Sci-Fi & Fantasy",
7,Shrinking,Apple TV,series,2023,8.1,"Drama, Comedy",
8,Silo,Apple TV,series,2023,8.1,"Sci-Fi & Fantasy, Drama",
9,Slow Horses Season 5,Apple TV,series,2025,8.3,"Crime, Drama, Comedy",
10,Ted Lasso,Apple TV,series,2020,8.8,"Drama, Comedy",
11,The Last Frontier,Apple TV,series,2025,7.6,"Crime, Drama",
12,The Morning Show,Apple TV,series,2019,8.1,Drama,
13,Formula 1 Season 2025,Fancode,sports_event,1978,6.7,Documentary,
14,NBA Finals 2025,Fancode,sports_event,,9.2,Documentary,
15,12th Fail,JioHotstar,movie,2023,8.7,Drama,
16,Aarya Season 3,JioHotstar,series,2023,7.7,"Crime, Drama",
17,Ae Watan Mere Watan,JioHotstar,movie,2024,4.7,"Drama, Thriller, History",
18,Ahsoka,JioHotstar,series,2023,7.4,"Sci-Fi & Fantasy, Action & Adventure, Drama",
19,Article 370,JioHotstar,movie,2024,7.8,"Action, Thriller, Drama",
20,Asur Season 2,JioHotstar,series,2023,8.5,"Crime, Drama, Mystery",
21,Bade Miyan Chote Miyan,JioHotstar,movie,2024,3.8,Action,
22,Crew,JioHotstar,movie,2024,5.8,"Comedy, Drama",
23,Do Aur Do Pyaar,JioHotstar,movie,2024,6.7,"Romance, Comedy, Drama",
24,Dune Part 2,JioHotstar,movie,2024,8.4,"Science Fiction, Adventure",
25,House of the Dragon,JioHotstar,series,2022,8.3,"Sci-Fi & Fantasy, Drama, Action & Adventure",
26,House of the Dragon Season 2,JioHotstar,series,2024,8.3,"Sci-Fi & Fantasy, Drama, Action & Adventure",
27,IPL 2025 Live,JioHotstar,sports_event,,9.3,,
28,ISL 2025,JioHotstar,sports_event,,8.6,,
29,Kaala Paani,JioHotstar,series,2023,8.0,Drama,
30,Laapataa Ladies,JioHotstar,movie,2024,8.4,"Comedy, Drama, Romance",
31,Loki Season 2,JioHotstar,series,2023,8.2,"Drama, Sci-Fi & Fantasy",
32,Madgaon Express,JioHotstar,movie,2024,7.0,"Comedy, Drama",
33,Merry Christmas,JioHotstar,movie,2001,4.5,Comedy,
34,Murder Mubarak,JioHotstar,movie,2024,5.8,"Comedy, Crime, Thriller",
35,Pro Kabaddi League 2025,JioHotstar,sports_event,,8.9,,
