Original Excel Title,Parsed Title,Platform (Normalized),Season,Volume,Release Year (Excel),TMDB Match Found,TMDB Title,TMDB Year,Year Mismatch,Confidence,IMDb Rating Found,IMDb Rating,Status,Action Taken,Possible Duplicate,Match Reason
Laughter Chefs S3 (JioHotstar),Laughter Chefs,jiohotstar,3.0,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Ziddi Ishq (JioHotstar),Ziddi Ishq,jiohotstar,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Mahabharat : Ek Dharmyuddh (JioHotstar),Mahabharat : Ek Dharmyuddh,jiohotstar,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
The Naina Murder Case (JioHotstar),The Naina Murder Case,jiohotstar,,,2025,Yes,Search: The Naina Murder Case,2025,No,medium,No,N/A,needs_review,dry_run,N/A,Title match + year proximity (confidence: medium)
Stranger Things S5 Vol 1 (Netflix),Stranger Things,netflix,5.0,1.0,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Dining With Kapoors (Netflix),Dining With Kapoors,netflix,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Family Man S3 (Prime),Family Man,prime_video,3.0,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Delhi Crimes S3 (Netflix),Delhi Crimes,netflix,3.0,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Maharani S4 (SonyLIV),Maharani,sonyliv,4.0,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Thhode Door Thhode Paas (Zee5),Thhode Door Thhode Paas,zee5,,,Missing,No,N/A,N/A,Excel year missing,low,No,N/A,needs_review,no_match,N/A,No match found
